fmun_cod;fmun;ano;mes;regiao;hom_doloso;lesao_corp_morte;latrocinio;hom_por_interv_policial;estupro;roubo_transeunte;roubo_celular;roubo_em_coletivo;roubo_rua;roubo_veiculo;roubo_carga;roubo_comercio;roubo_residencia;roubo_banco;roubo_cx_eletronico;roubo_conducao_saque;roubo_apos_saque;roubo_bicicleta;outros_roubos;furto_veiculos;furto_transeunte;furto_coletivo;furto_celular;furto_bicicleta;outros_furtos
3304151;Quissamã;2014;2;Interior;0;0;0;0;0;1;0;0;1;2;0;0;0;0;0;0;0;0;1;2;1;0;1;0;22
3304201;Resende;2014;2;Interior;3;0;0;0;5;8;0;0;8;0;0;7;0;0;0;0;0;0;2;6;13;0;14;0;89
3304300;Rio Bonito;2014;2;Interior;0;0;0;0;2;2;0;0;2;7;1;3;2;0;0;0;0;0;1;6;1;0;3;0;17
3304409;Rio Claro;2014;2;Interior;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;4
3304508;Rio das Flores;2014;2;Interior;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2
3304524;Rio das Ostras;2014;2;Interior;2;0;0;0;6;30;0;1;31;19;0;1;5;0;0;0;0;0;3;24;13;1;6;0;122
3304557;Rio de Janeiro;2014;2;Capital;133;2;6;21;171;3200;303;358;3861;1235;244;343;50;4;3;10;80;0;872;661;2370;718;936;0;4466
3304607;Santa Maria Madalena;2014;2;Interior;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2
3304706;Santo Antônio de Pádua;2014;2;Interior;0;0;0;0;1;0;1;0;1;1;1;0;0;0;0;0;0;0;1;3;0;0;2;0;11
3304755;São Francisco de Itabapoana;2014;2;Interior;2;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;11
3304805;São Fidélis;2014;2;Interior;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;4;1;0;0;0;16
3304904;São Gonçalo;2014;2;Grande Niterói;34;0;2;2;38;744;32;73;849;405;26;58;10;0;0;0;3;0;68;85;127;27;29;0;302
3305000;São João da Barra;2014;2;Interior;5;0;0;0;7;10;0;0;10;1;0;1;0;0;0;0;0;0;1;7;1;0;3;0;35
3305109;São João de Meriti;2014;2;Baixada Fluminense;14;0;0;3;13;268;3;17;288;192;20;30;6;0;1;1;4;0;35;31;25;8;11;0;153
3305133;São José de Ubá;2014;2;Interior;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3305158;São José do Vale do Rio Preto;2014;2;Interior;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
3305208;São Pedro da Aldeia;2014;2;Interior;3;0;0;0;5;7;1;1;9;4;0;1;0;0;0;0;0;0;5;8;2;2;4;0;41
3305307;São Sebastião do Alto;2014;2;Interior;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;3
3305406;Sapucaia;2014;2;Interior;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;3
3305505;Saquarema;2014;2;Interior;1;0;2;0;5;4;0;0;4;3;0;1;1;0;0;0;0;0;2;8;4;1;1;0;56
3305554;Seropédica;2014;2;Baixada Fluminense;2;0;0;0;9;9;2;0;11;7;2;2;3;0;0;0;0;0;4;3;2;0;3;0;27
3305604;Silva Jardim;2014;2;Interior;0;0;0;0;0;0;0;0;0;2;1;3;0;0;0;0;0;0;0;2;0;0;1;0;6
